n_samples,Distribution,Algorithm,Accuracy,Precision,Recall,F1 Score,Time
500,normal,KMeans,0.96,0.6,0.6,0.6,0.2506
500,normal,DBSCAN,0.968,0.6285714285714286,0.88,0.7333333333333333,0.0051
500,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.1903
500,normal,Z-Score,0.974,0.7,0.84,0.7636363636363637,0.0010
500,normal,IQR,0.942,0.4583333333333333,0.88,0.6027397260273972,0.0102
500,blobs,KMeans,0.98,0.8,0.8,0.8,0.2245
500,blobs,DBSCAN,0.992,0.92,0.92,0.92,0.0044
500,blobs,Isolation Forest,0.992,0.92,0.92,0.92,0.1797
500,blobs,Z-Score,0.982,1.0,0.64,0.7804878048780488,0.0009
500,blobs,IQR,0.962,1.0,0.24,0.3870967741935484,0.0095
500,moons,KMeans,0.964,0.64,0.64,0.64,0.1798
500,moons,DBSCAN,0.996,0.9259259259259259,1.0,0.9615384615384616,0.0041
500,moons,Isolation Forest,0.98,0.8,0.8,0.8,0.1864
500,moons,Z-Score,0.978,1.0,0.56,0.717948717948718,0.0009
500,moons,IQR,0.976,1.0,0.52,0.6842105263157895,0.0097
500,circles,KMeans,0.968,0.68,0.68,0.68,0.2407
500,circles,DBSCAN,0.996,1.0,0.92,0.9583333333333334,0.0045
500,circles,Isolation Forest,0.988,0.88,0.88,0.88,0.1842
500,circles,Z-Score,0.99,0.9545454545454546,0.84,0.8936170212765957,0.0009
500,circles,IQR,0.928,0.40350877192982454,0.92,0.5609756097560976,0.0101
1000,normal,KMeans,0.954,0.54,0.54,0.54,1.2186
1000,normal,DBSCAN,0.972,0.6774193548387096,0.84,0.75,0.0085
1000,normal,Isolation Forest,0.974,0.74,0.74,0.74,0.2074
1000,normal,Z-Score,0.976,0.7241379310344828,0.84,0.7777777777777778,0.0009
1000,normal,IQR,0.93,0.4056603773584906,0.86,0.5512820512820513,0.0171
1000,blobs,KMeans,0.968,0.68,0.68,0.68,1.0238
1000,blobs,DBSCAN,0.986,0.9090909090909091,0.8,0.851063829787234,0.0079
1000,blobs,Isolation Forest,0.98,0.8,0.8,0.8,0.2012
1000,blobs,Z-Score,0.981,1.0,0.62,0.7654320987654321,0.0009
1000,blobs,IQR,0.973,1.0,0.46,0.6301369863013698,0.0165
1000,moons,KMeans,0.968,0.68,0.68,0.68,1.0817
1000,moons,DBSCAN,0.986,0.9285714285714286,0.78,0.8478260869565217,0.0068
1000,moons,Isolation Forest,0.98,0.8,0.8,0.8,0.1909
1000,moons,Z-Score,0.981,1.0,0.62,0.7654320987654321,0.0009
1000,moons,IQR,0.986,1.0,0.72,0.8372093023255814,0.0181
1000,circles,KMeans,0.968,0.68,0.68,0.68,1.1394
1000,circles,DBSCAN,0.994,1.0,0.88,0.9361702127659575,0.0062
1000,circles,Isolation Forest,0.978,0.78,0.78,0.78,0.1911
1000,circles,Z-Score,0.981,1.0,0.62,0.7654320987654321,0.0009
1000,circles,IQR,0.969,1.0,0.38,0.5507246376811594,0.0171
1500,normal,KMeans,0.9653333333333334,0.6533333333333333,0.6533333333333333,0.6533333333333333,1.2860
1500,normal,DBSCAN,0.9693333333333334,0.6526315789473685,0.8266666666666667,0.7294117647058823,0.0112
1500,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.1951
1500,normal,Z-Score,0.9706666666666667,0.6631578947368421,0.84,0.7411764705882353,0.0009
1500,normal,IQR,0.9333333333333333,0.422360248447205,0.9066666666666666,0.576271186440678,0.0243
1500,blobs,KMeans,0.984,0.84,0.84,0.84,1.2627
1500,blobs,DBSCAN,0.9846666666666667,0.8095238095238095,0.9066666666666666,0.8553459119496856,0.0110
1500,blobs,Isolation Forest,0.9893333333333333,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.1990
1500,blobs,Z-Score,0.9813333333333333,1.0,0.6266666666666667,0.7704918032786885,0.0009
1500,blobs,IQR,0.9593333333333334,1.0,0.18666666666666668,0.3146067415730337,0.0237
1500,moons,KMeans,0.9706666666666667,0.7066666666666667,0.7066666666666667,0.7066666666666667,1.2663
1500,moons,DBSCAN,0.9913333333333333,0.9428571428571428,0.88,0.9103448275862069,0.0093
1500,moons,Isolation Forest,0.976,0.76,0.76,0.76,0.2253
1500,moons,Z-Score,0.9826666666666667,1.0,0.6533333333333333,0.7903225806451613,0.0010
1500,moons,IQR,0.9766666666666667,1.0,0.5333333333333333,0.6956521739130435,0.0239
1500,circles,KMeans,0.9706666666666667,0.7066666666666667,0.7066666666666667,0.7066666666666667,1.3281
1500,circles,DBSCAN,0.986,0.9354838709677419,0.7733333333333333,0.8467153284671532,0.0096
1500,circles,Isolation Forest,0.9746666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.2038
1500,circles,Z-Score,0.9853333333333333,1.0,0.7066666666666667,0.828125,0.0009
1500,circles,IQR,0.9813333333333333,1.0,0.6266666666666667,0.7704918032786885,0.0242
2000,normal,KMeans,0.972,0.72,0.72,0.72,1.3330
2000,normal,DBSCAN,0.9785,0.7435897435897436,0.87,0.8018433179723502,0.0154
2000,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2023
2000,normal,Z-Score,0.973,0.6854838709677419,0.85,0.7589285714285714,0.0009
2000,normal,IQR,0.936,0.4320388349514563,0.89,0.5816993464052288,0.0324
2000,blobs,KMeans,0.993,0.93,0.93,0.93,1.0857
2000,blobs,DBSCAN,0.995,0.9411764705882353,0.96,0.9504950495049505,0.0158
2000,blobs,Isolation Forest,0.989,0.89,0.89,0.89,0.2180
2000,blobs,Z-Score,0.976,1.0,0.52,0.6842105263157895,0.0009
2000,blobs,IQR,0.9545,1.0,0.09,0.1651376146788991,0.0306
2000,moons,KMeans,0.975,0.75,0.75,0.75,1.2967
2000,moons,DBSCAN,0.99,0.9347826086956522,0.86,0.8958333333333334,0.0128
2000,moons,Isolation Forest,0.98,0.8,0.8,0.8,0.2076
2000,moons,Z-Score,0.9855,1.0,0.71,0.8304093567251462,0.0009
2000,moons,IQR,0.981,1.0,0.62,0.7654320987654321,0.0313
2000,circles,KMeans,0.96,0.6,0.6,0.6,1.2823
2000,circles,DBSCAN,0.9955,1.0,0.91,0.9528795811518325,0.0114
2000,circles,Isolation Forest,0.978,0.78,0.78,0.78,0.2158
2000,circles,Z-Score,0.981,1.0,0.62,0.7654320987654321,0.0009
2000,circles,IQR,0.9635,1.0,0.27,0.4251968503937008,0.0317
2500,normal,KMeans,0.9608,0.608,0.608,0.608,1.6423
2500,normal,DBSCAN,0.9756,1.0,0.512,0.6772486772486772,0.0403
2500,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2310
2500,normal,Z-Score,0.98,0.7516778523489933,0.896,0.8175182481751825,0.0010
2500,normal,IQR,0.9292,0.4103448275862069,0.952,0.5734939759036145,0.0405
2500,blobs,KMeans,0.9864,0.864,0.864,0.864,1.6396
2500,blobs,DBSCAN,0.9864,0.8321167883211679,0.912,0.8702290076335878,0.0179
2500,blobs,Isolation Forest,0.9864,0.864,0.864,0.864,0.2333
2500,blobs,Z-Score,0.986,0.9411764705882353,0.768,0.8458149779735683,0.0011
2500,blobs,IQR,0.8972,0.29878048780487804,0.784,0.4326710816777042,0.0400
2500,moons,KMeans,0.972,0.72,0.72,0.72,1.6689
2500,moons,DBSCAN,0.9884,0.9615384615384616,0.8,0.8733624454148472,0.0168
2500,moons,Isolation Forest,0.976,0.76,0.76,0.76,0.2217
2500,moons,Z-Score,0.982,1.0,0.64,0.7804878048780488,0.0009
2500,moons,IQR,0.9796,1.0,0.592,0.7437185929648241,0.0392
2500,circles,KMeans,0.9648,0.648,0.648,0.648,1.6744
2500,circles,DBSCAN,0.9928,0.9652173913043478,0.888,0.925,0.0144
2500,circles,Isolation Forest,0.976,0.76,0.76,0.76,0.2210
2500,circles,Z-Score,0.982,1.0,0.64,0.7804878048780488,0.0009
2500,circles,IQR,0.978,1.0,0.56,0.717948717948718,0.0384
3000,normal,KMeans,0.9706666666666667,0.7066666666666667,0.7066666666666667,0.7066666666666667,1.8630
3000,normal,DBSCAN,0.9793333333333333,0.7784810126582279,0.82,0.7987012987012987,0.0251
3000,normal,Isolation Forest,0.9826666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.2474
3000,normal,Z-Score,0.9803333333333333,0.7935483870967742,0.82,0.8065573770491803,0.0013
3000,normal,IQR,0.9326666666666666,0.4192546583850932,0.9,0.5720338983050848,0.0498
3000,blobs,KMeans,0.986,0.86,0.86,0.86,1.8937
3000,blobs,DBSCAN,0.9786666666666667,0.7107843137254902,0.9666666666666667,0.8192090395480226,0.0213
3000,blobs,Isolation Forest,0.9866666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.2258
3000,blobs,Z-Score,0.9836666666666667,1.0,0.6733333333333333,0.8047808764940239,0.0010
3000,blobs,IQR,0.9663333333333334,1.0,0.32666666666666666,0.49246231155778897,0.0463
3000,moons,KMeans,0.97,0.7,0.7,0.7,1.8681
3000,moons,DBSCAN,0.991,0.9624060150375939,0.8533333333333334,0.9045936395759717,0.0202
3000,moons,Isolation Forest,0.982,0.82,0.82,0.82,0.2428
3000,moons,Z-Score,0.9796666666666667,1.0,0.5933333333333334,0.7447698744769874,0.0009
3000,moons,IQR,0.9783333333333334,1.0,0.5666666666666667,0.723404255319149,0.0479
3000,circles,KMeans,0.97,0.7,0.7,0.7,1.8729
3000,circles,DBSCAN,0.9896666666666667,0.9541984732824428,0.8333333333333334,0.8896797153024911,0.0190
3000,circles,Isolation Forest,0.9793333333333333,0.7933333333333333,0.7933333333333333,0.7933333333333333,0.2420
3000,circles,Z-Score,0.9843333333333333,1.0,0.6866666666666666,0.8142292490118577,0.0009
3000,circles,IQR,0.9826666666666667,1.0,0.6533333333333333,0.7903225806451613,0.0457
3500,normal,KMeans,0.9771428571428571,0.7714285714285715,0.7714285714285715,0.7714285714285715,2.2808
3500,normal,DBSCAN,0.9768571428571429,0.7303921568627451,0.8514285714285714,0.7862796833773087,0.0291
3500,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2403
3500,normal,Z-Score,0.9748571428571429,0.7023255813953488,0.8628571428571429,0.7743589743589744,0.0011
3500,normal,IQR,0.9294285714285714,0.40816326530612246,0.9142857142857143,0.564373897707231,0.0611
3500,blobs,KMeans,0.9914285714285714,0.9142857142857143,0.9142857142857143,0.9142857142857143,2.1051
3500,blobs,DBSCAN,0.956,1.0,0.12,0.21428571428571427,0.0668
3500,blobs,Isolation Forest,0.992,0.92,0.92,0.92,0.2722
3500,blobs,Z-Score,0.98,1.0,0.6,0.75,0.0012
3500,blobs,IQR,0.9502857142857143,1.0,0.005714285714285714,0.011363636363636364,0.0550
3500,moons,KMeans,0.9702857142857143,0.7028571428571428,0.7028571428571428,0.7028571428571428,2.1251
3500,moons,DBSCAN,0.9945714285714286,0.9534883720930233,0.9371428571428572,0.9452449567723343,0.0233
3500,moons,Isolation Forest,0.9805714285714285,0.8057142857142857,0.8057142857142857,0.8057142857142857,0.2585
3500,moons,Z-Score,0.9788571428571429,1.0,0.5771428571428572,0.7318840579710145,0.0010
3500,moons,IQR,0.9774285714285714,1.0,0.5485714285714286,0.7084870848708487,0.0568
3500,circles,KMeans,0.9702857142857143,0.7028571428571428,0.7028571428571428,0.7028571428571428,2.1461
3500,circles,DBSCAN,0.9602857142857143,1.0,0.2057142857142857,0.3412322274881517,0.0457
3500,circles,Isolation Forest,0.9817142857142858,0.8171428571428572,0.8171428571428572,0.8171428571428572,0.2498
3500,circles,Z-Score,0.9848571428571429,0.9919354838709677,0.7028571428571428,0.822742474916388,0.0010
3500,circles,IQR,0.9808571428571429,0.8333333333333334,0.7714285714285715,0.8011869436201781,0.0554
4000,normal,KMeans,0.9725,0.725,0.725,0.725,2.5915
4000,normal,DBSCAN,0.983,0.8203883495145631,0.845,0.8325123152709359,0.0376
4000,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2947
4000,normal,Z-Score,0.98,0.7857142857142857,0.825,0.8048780487804879,0.0015
4000,normal,IQR,0.94175,0.4578005115089514,0.895,0.6057529610829103,0.0673
4000,blobs,KMeans,0.9915,0.915,0.915,0.915,2.5542
4000,blobs,DBSCAN,0.995,0.9245283018867925,0.98,0.9514563106796117,0.0324
4000,blobs,Isolation Forest,0.992,0.92,0.92,0.92,0.2506
4000,blobs,Z-Score,0.978,1.0,0.56,0.717948717948718,0.0010
4000,blobs,IQR,0.95425,1.0,0.085,0.15668202764976957,0.0628
4000,moons,KMeans,0.9725,0.725,0.725,0.725,2.6028
4000,moons,DBSCAN,0.98675,0.9298245614035088,0.795,0.8571428571428571,0.0283
4000,moons,Isolation Forest,0.975,0.75,0.75,0.75,0.2510
4000,moons,Z-Score,0.98425,1.0,0.685,0.8130563798219584,0.0010
4000,moons,IQR,0.97975,1.0,0.595,0.7460815047021944,0.0619
4000,circles,KMeans,0.9675,0.675,0.675,0.675,2.5429
4000,circles,DBSCAN,0.99375,0.972972972972973,0.9,0.935064935064935,0.0281
4000,circles,Isolation Forest,0.9805,0.805,0.805,0.805,0.2535
4000,circles,Z-Score,0.98475,1.0,0.695,0.8200589970501475,0.0010
4000,circles,IQR,0.95325,0.5217391304347826,0.78,0.625250501002004,0.0628
4500,normal,KMeans,0.968,0.68,0.68,0.68,3.1142
4500,normal,DBSCAN,0.9746666666666667,0.6933797909407665,0.8844444444444445,0.77734375,0.0366
4500,normal,Isolation Forest,0.984,0.84,0.84,0.84,0.2726
4500,normal,Z-Score,0.9815555555555555,0.7983193277310925,0.8444444444444444,0.8207343412526998,0.0010
4500,normal,IQR,0.93,0.4089068825910931,0.8977777777777778,0.5618915159944368,0.0726
4500,blobs,KMeans,0.9755555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555,3.0249
4500,blobs,DBSCAN,0.9888888888888889,0.9834254143646409,0.7911111111111111,0.8768472906403941,0.0560
4500,blobs,Isolation Forest,0.98,0.8,0.8,0.8,0.2667
4500,blobs,Z-Score,0.9802222222222222,0.8655913978494624,0.7155555555555555,0.7834549878345499,0.0010
4500,blobs,IQR,0.8655555555555555,0.22622478386167147,0.6977777777777778,0.3416757344940152,0.0735
4500,moons,KMeans,0.9768888888888889,0.7688888888888888,0.7688888888888888,0.7688888888888888,3.0567
4500,moons,DBSCAN,0.994,0.9714285714285714,0.9066666666666666,0.9379310344827586,0.0333
4500,moons,Isolation Forest,0.9822222222222222,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.2695
4500,moons,Z-Score,0.9831111111111112,1.0,0.6622222222222223,0.7967914438502673,0.0015
4500,moons,IQR,0.9804444444444445,1.0,0.6088888888888889,0.7569060773480663,0.0715
4500,circles,KMeans,0.9711111111111111,0.7111111111111111,0.7111111111111111,0.7111111111111111,2.9912
4500,circles,DBSCAN,0.9971111111111111,0.9953271028037384,0.9466666666666667,0.9703872437357631,0.0323
4500,circles,Isolation Forest,0.9826666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.2686
4500,circles,Z-Score,0.9862222222222222,1.0,0.7244444444444444,0.8402061855670103,0.0010
4500,circles,IQR,0.9182222222222223,0.358974358974359,0.8088888888888889,0.4972677595628415,0.0727
5000,normal,KMeans,0.9732,0.732,0.732,0.732,3.7011
5000,normal,DBSCAN,0.9756,0.693939393939394,0.916,0.7896551724137931,0.0440
5000,normal,Isolation Forest,0.9872,0.872,0.872,0.872,0.2749
5000,normal,Z-Score,0.9846,0.8145454545454546,0.896,0.8533333333333334,0.0010
5000,normal,IQR,0.9274,0.40341880341880343,0.944,0.5652694610778443,0.0798
5000,blobs,KMeans,0.9852,0.852,0.852,0.852,3.6178
5000,blobs,DBSCAN,0.9526,1.0,0.052,0.09885931558935361,0.1263
5000,blobs,Isolation Forest,0.9876,0.876,0.876,0.876,0.2867
5000,blobs,Z-Score,0.9836,0.9285714285714286,0.728,0.8161434977578476,0.0012
5000,blobs,IQR,0.8454,0.20114285714285715,0.704,0.3128888888888889,0.0815
5000,moons,KMeans,0.974,0.74,0.74,0.74,3.6320
5000,moons,DBSCAN,0.9972,0.9916666666666667,0.952,0.9714285714285714,0.0344
5000,moons,Isolation Forest,0.9828,0.828,0.828,0.828,0.2720
5000,moons,Z-Score,0.9824,1.0,0.648,0.7864077669902912,0.0010
5000,moons,IQR,0.977,1.0,0.54,0.7012987012987013,0.0790
5000,circles,KMeans,0.966,0.66,0.66,0.66,3.5839
5000,circles,DBSCAN,0.992,0.9565217391304348,0.88,0.9166666666666666,0.0320
5000,circles,Isolation Forest,0.9804,0.804,0.804,0.804,0.2989
5000,circles,Z-Score,0.981,1.0,0.62,0.7654320987654321,0.0010
5000,circles,IQR,0.968,1.0,0.36,0.5294117647058824,0.0766
5500,normal,KMeans,0.9690909090909091,0.6909090909090909,0.6909090909090909,0.6909090909090909,4.3107
5500,normal,DBSCAN,0.9798181818181818,0.7715231788079471,0.8472727272727273,0.8076256499133448,0.0471
5500,normal,Isolation Forest,0.9821818181818182,0.8218181818181818,0.8218181818181818,0.8218181818181818,0.2689
5500,normal,Z-Score,0.9745454545454545,0.7076923076923077,0.8363636363636363,0.7666666666666667,0.0010
5500,normal,IQR,0.9294545454545454,0.40930979133226325,0.9272727272727272,0.5679287305122495,0.0885
5500,blobs,KMeans,0.978909090909091,0.7890909090909091,0.7890909090909091,0.7890909090909091,4.3228
5500,blobs,DBSCAN,0.9870909090909091,0.8805970149253731,0.8581818181818182,0.8692449355432781,0.0468
5500,blobs,Isolation Forest,0.9807272727272728,0.8072727272727273,0.8072727272727273,0.8072727272727273,0.3080
5500,blobs,Z-Score,0.9850909090909091,0.9898477157360406,0.7090909090909091,0.826271186440678,0.0010
5500,blobs,IQR,0.9725454545454545,1.0,0.4509090909090909,0.6215538847117794,0.0865
5500,moons,KMeans,0.9734545454545455,0.7345454545454545,0.7345454545454545,0.7345454545454545,4.2714
5500,moons,DBSCAN,0.9978181818181818,0.9816849816849816,0.9745454545454545,0.9781021897810219,0.0396
5500,moons,Isolation Forest,0.9785454545454545,0.7854545454545454,0.7854545454545454,0.7854545454545454,0.2961
5500,moons,Z-Score,0.9810909090909091,1.0,0.6218181818181818,0.7668161434977578,0.0010
5500,moons,IQR,0.9743636363636363,1.0,0.48727272727272725,0.6552567237163814,0.0871
